p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM
2.6424469568005136,10.0,154.4133708970593,-6.760094015624043,5.882352941176471,7.3725076932987825,28.34,23.900389
-0.6099739693219348,10.0,154.4133708970593,-3.7037515208741443,5.686274509803921,3.863716219064202,28.47,23.900389
-3.1702386554918967,10.0,154.4133708970593,-3.251329971959084,3.5784313725490193,5.258987922743868,28.11,23.900389
9.536903039073849,10.0,154.4133708970593,-17.429059901818945,2.107843137254902,0.5726953040848091,28.7,24.362045
0.6958922674113702,10.0,154.4133708970593,-8.882166777215293,1.8137254901960782,1.327100897351587,28.8,24.362045
-6.372562679270094,10.0,154.4133708970593,-1.764692222690691,1.8627450980392148,0.446115524479801,30.62,25.500795
-10.0,10.0,154.4133708970593,2.30392156862745,2.30392156862745,2.6746156546635556,37.6,25.664049
2.905365352301751,10.0,154.4133708970593,-9.032816332693908,3.872549019607843,7.1364408236090675,46.99,26.001257
10.0,10.0,154.4133708970593,-12.009803921568627,7.990196078431373,10.0,47.07,26.500381
-10.0,5.548646011163628,92.72762524290413,12.490569675110882,8.03921568627451,7.879202103685495,47.06,26.500381
-10.0,10.0,154.4133708970593,8.235294117647058,8.235294117647058,9.683732477822602,46.98,26.500381
-10.0,10.0,154.4133708970593,7.843137254901961,7.8431372549019605,7.860171669247013,42.03,27.300585
5.365738496086107,10.0,154.4133708970593,-10.85593457451748,4.509803921568627,7.483808538532815,42.37,48.914104
-0.33135719512832207,10.0,154.4133708970593,-5.747074177420698,3.92156862745098,4.819237056790789,33.05,28.100788
10.0,10.0,154.4133708970593,-15.833333333333332,4.166666666666667,4.386596834747013,33.05,26.001257
10.0,10.0,154.4133708970593,-14.705882352941178,5.294117647058823,5.762839936620257,37.0,25.500795
10.0,10.0,154.4133708970593,-13.57843137254902,6.421568627450981,5.4376630754425515,33.04,25.000334
-9.025004422270708,10.0,154.4133708970593,5.1034357948197275,6.078431372549019,5.525933164753736,30.18,25.000334
-8.409692487810837,10.0,154.4133708970593,7.282241507418679,8.872549019607842,8.357292997483906,29.46,25.000334
-10.0,10.0,154.4133708970593,9.852941176470587,9.852941176470587,10.0,28.63,24.00075
-10.0,10.0,154.4133708970593,9.852941176470587,9.852941176470587,10.0,27.98,22.00024
-10.0,10.0,154.4133708970593,9.852941176470587,9.852941176470587,5.425973332920632,26.93,20.500195
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,8.47160885413297,24.21,17.000977
-4.787452424379118,10.0,154.4133708970593,4.689413208692844,9.901960784313726,9.777526610637947,18.95,18.949299
0.7380154402321546,10.0,154.4133708970593,-0.8360546559184279,9.901960784313726,10.0,4.96,4.960458
2.1841988476244154,10.0,154.4133708970593,-2.2822380633106896,9.901960784313726,10.0,0.1,0.0
-1.1097693475552077,10.0,154.4133708970593,1.0117301318689336,9.901960784313726,7.4954185438609535,0.11,0.0
-9.276410998552821,10.0,154.4133708970593,9.129352175023406,9.852941176470587,10.0,1.75,0.0
1.7245418856698298,10.0,154.4133708970593,-2.067679140571789,9.65686274509804,10.0,20.74,19.000147
0.5938611878602194,10.0,154.4133708970593,-0.8879788349190427,9.705882352941176,8.388860003837387,25.57,19.999733
-10.0,10.0,154.4133708970593,9.656862745098039,9.65686274509804,9.427557521644287,26.99,24.399513
-9.263283343933475,10.0,154.4133708970593,8.773087265502102,9.509803921568627,10.0,27.34,25.499458
-2.6116748828279888,10.0,154.4133708970593,1.8763807651809312,9.264705882352942,10.0,27.92,25.000334
-10.0,10.0,154.4133708970593,9.607843137254903,9.607843137254902,8.269912926769829,28.03,25.000334
-10.0,10.0,154.4133708970593,9.607843137254903,9.607843137254902,10.0,28.02,24.269714
-10.0,10.0,154.4133708970593,8.92156862745098,8.92156862745098,8.782425655896683,28.0,24.20013
-7.041554313363789,10.0,154.4133708970593,5.080769999638299,8.03921568627451,4.788551554705151,27.98,23.399927
-8.368427182767448,10.0,154.4133708970593,5.427250712179212,7.058823529411765,5.886520054576465,28.06,24.382116
-1.6029227145562501,10.0,154.4133708970593,-1.2892341481888465,7.1078431372549025,8.055263497190895,28.44,24.699255
-1.109122530730196,10.0,154.4133708970593,0.32480880524,9.215686274509805,10.0,28.88,25.700178
7.152592132305401,10.0,154.4133708970593,-8.574160759756381,8.57843137254902,7.920369724518915,39.07,39.069462
