p_DA,p_H,p_IM,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
-9.999999999999995,10.0,0.7843137254901915,154.41337089705934,0.7843137254901961,1.0,0.0,0.0,0.0,83.45,83.455894
-9.999999999999995,10.0,1.3235294117647012,154.41337089705934,1.3235294117647058,1.0,0.0,0.0,0.0,85.15,85.155716
-10.0,10.0,1.6666666666666667,154.41337089705934,1.666666666666666,1.0,0.0,0.0,0.0,78.16,78.164894
10.0,10.0,-17.30392156862745,154.41337089705934,2.6960784313725488,1.0,0.0,0.0,0.0,71.92,49.112583
10.0,10.0,-16.176470588235293,154.41337089705934,3.823529411764705,1.0,0.0,0.0,0.0,67.43,48.643761
10.0,10.0,-14.950980392156863,154.41337089705934,5.049019607843137,1.0,0.0,0.0,0.0,60.49,44.507401
10.0,10.0,-13.872549019607842,154.41337089705934,6.127450980392157,1.0,0.0,0.0,0.0,50.5,42.973679
10.0,10.0,-12.107843137254903,154.41337089705934,7.8921568627450975,1.0,0.0,0.0,0.0,47.84,42.007957
-9.999999999999995,10.0,7.794117647058818,154.41337089705934,7.794117647058823,1.0,0.0,0.0,0.0,46.58,46.585747
10.0,10.0,-13.088235294117647,154.41337089705934,6.911764705882353,1.0,0.0,0.0,0.0,45.74,42.519726
10.0,10.0,-12.990196078431373,154.41337089705934,7.009803921568627,1.0,0.0,0.0,0.0,43.81,42.519726
10.0,10.0,-12.303921568627452,154.41337089705934,7.696078431372549,1.0,0.0,0.0,0.0,46.24,44.057716
10.0,10.0,-11.07843137254902,154.41337089705934,8.92156862745098,1.0,0.0,0.0,0.0,46.46,44.057716
10.0,10.0,-10.980392156862743,154.41337089705934,9.019607843137257,1.0,0.0,0.0,0.0,51.29,46.61924
-9.999999999999995,10.0,9.313725490196074,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,60.53,60.537491
-9.999999999999995,10.0,9.656862745098035,154.41337089705934,9.65686274509804,1.0,0.0,0.0,0.0,60.02,60.027061
10.0,10.0,-10.53921568627451,154.41337089705934,9.46078431372549,1.0,0.0,0.0,0.0,62.92,51.229183
10.0,10.0,-10.686274509803921,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,61.58,51.229183
10.0,10.0,-10.686274509803921,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,60.6,49.692535
10.0,10.0,-10.882352941176471,154.41337089705934,9.117647058823529,1.0,0.0,0.0,0.0,51.89,50.204308
10.0,10.0,-11.127450980392158,154.41337089705934,8.872549019607842,1.0,0.0,0.0,0.0,50.8,46.305748
-9.999999999999995,10.0,8.382352941176466,154.41337089705934,8.382352941176471,1.0,0.0,0.0,0.0,45.46,45.465752
-9.999999999999995,10.0,7.745098039215681,154.41337089705934,7.745098039215686,1.0,0.0,0.0,0.0,42.2,42.204895
-9.999999999999995,10.0,7.843137254901955,154.41337089705934,7.8431372549019605,1.0,0.0,0.0,0.0,45.93,45.935989
-9.999999999999995,10.0,6.617647058823524,154.41337089705934,6.617647058823529,1.0,0.0,0.0,0.0,51.51,51.515881
-9.999999999999995,10.0,5.049019607843132,154.41337089705934,5.049019607843137,1.0,0.0,0.0,0.0,50.44,50.445454
-9.999999999999995,10.0,4.656862745098033,154.41337089705934,4.656862745098039,1.0,0.0,0.0,0.0,49.64,49.645645
-9.999999999999995,10.0,4.7549019607843075,154.41337089705934,4.754901960784313,1.0,0.0,0.0,0.0,48.93,48.9356
-9.999999999999995,10.0,4.215686274509799,154.41337089705934,4.215686274509804,1.0,0.0,0.0,0.0,48.34,48.346127
-9.999999999999995,10.0,3.676470588235288,154.41337089705934,3.676470588235294,1.0,0.0,0.0,0.0,47.54,47.546322
-9.999999999999995,10.0,3.578431372549014,154.41337089705934,3.5784313725490193,1.0,0.0,0.0,0.0,45.03,45.035702
